DDb-hybrid (match),Checklist (replace-with),TM (replace),Replace?,Regex?,Notes,,,,
o.lips.copt,O.Lips.Copt.,O. Lips. Copt.,TRUE,FALSE,,,,,
o.louvre,O.Louvre,O. Louvre,TRUE,FALSE,,,,,
o.lund,O.Lund,O. Lund,TRUE,FALSE,,,,,
o.masada,O.Masada,O. Masada,TRUE,FALSE,,,,,
o.mattha,O.Mattha,O. Mattha,TRUE,FALSE,,,,,
o.medin.habu.dem,O.Medin.Habu Dem,O. Med. Habu Dem.,TRUE,FALSE,,,,,
o.medin.madi,O.Medin.Madi,O. Medinet Madi,TRUE,FALSE,,,,,
o.metrologie,O.Métrologie,O. Métrologie,TRUE,FALSE,,,,,
o.mich.copt.etmoulon,O.Mich.Copt.Etmoulon,O. Mich. Copt. Etmoulon,TRUE,FALSE,,,,,
o.mich,O.Mich.,O. Mich.,TRUE,FALSE,,,,,
o.minor,O.Minor,O. Minor,TRUE,FALSE,,,,,
o.muhs,O.Muhs,O. Muhs,TRUE,FALSE,,,,,
o.narm.dem,O.Narm.Dem,O. Narm. Dem.,TRUE,FALSE,,,,,
o.narm;1,O.Narm.,O. Narm. Gr.,TRUE,FALSE,,,,,
o.nyu,O.NYU,O. NYU,TRUE,FALSE,,,,,
o.ont.mus,O.Ont.Mus.,O. Ont. Mus.,TRUE,FALSE,,,,,
o.oslo,O.Oslo,O. Oslo,TRUE,FALSE,,,,,
o.petr,O.Petr.,O. Petrie,TRUE,FALSE,,,,,
o.petr.mus,O.Petr.Mus.,O. Petrie Mus.,TRUE,FALSE,,,,,
o.oasis;;sarm,O.Oasis:Sarm,O\. Sarm\.\s,TRUE,TRUE,,,,,
o.stras.,O.Stras.,O. Strasb.,TRUE,FALSE,,,,,
o.theb.taxes,O.Theb.Taxes,O. Taxes,TRUE,FALSE,,,,,
o.tebt,O.Tebt.,O. Tebt.,TRUE,FALSE,,,,,
o.tebt.pad,O.Tebt.Pad.,O. Tebt. Pad.,TRUE,FALSE,,,,,
o.tempeleide,O.Tempeleide,O. Tempeleide,TRUE,FALSE,,,,,
o.theb,O.Theb.,O. Theb. Gr.,TRUE,FALSE,,,,,
o.trim,O.Trim.,O. Trim.,TRUE,FALSE,,,,,
o.wangstedt,O.Wångstedt,O. Wångstedt,TRUE,FALSE,,,,,
o.waqfa,O.Waqfa,O. Waqfa,TRUE,FALSE,,,,,
o.wilb,O.Wilb.,O. Wilb.,TRUE,FALSE,,,,,
o.wilck,O.Wilck.,O. Wilcken,TRUE,FALSE,,,,,
o.zurich,O.Zürich,O. Zürich,TRUE,FALSE,,,,,
p.bastianini,P.Bastianini,Omaggio a Guido Bastianini (Pap. Flor. 45),TRUE,FALSE,,,,,
p.aberd,P.Aberd.,P. Aberdeen,TRUE,FALSE,,,,,
p.abinn,P.Abinn.,P. Abinn.,TRUE,FALSE,,,,,
p.achm,P.Achm.,P. Achmim,TRUE,FALSE,,,,,
p.adl,P.Adl.,P.Adler,TRUE,FALSE,,,,,
